dataset,model,seed,method,rank,accuracy,baseline_accuracy,baseline_gap_pp,total_params,conv_params,baseline_total_params,baseline_conv_params
fashion-mnist,lenet5,0,per_layer_rank_ft,"conv1=4,conv2=10",84.0500,90.5500,-6.5000,59544,410,61706,2572
fashion-mnist,lenet5,0,layerwise_ft,8,89.6400,90.5500,-0.9100,59548,414,61706,2572
fashion-mnist,lenet5,0,data_aware_layerwise_ft,8,90.2800,90.5500,-0.2700,59548,414,61706,2572
fashion-mnist,lenet5,0,rebalance_layerwise_ft,8,89.0300,90.5500,-1.5200,59548,414,61706,2572
fashion-mnist,lenet5,0,stable_layerwise_ft,8,89.5000,90.5500,-1.0500,59548,414,61706,2572
fashion-mnist,lenet5,1,baseline,8,90.3100,90.3100,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,1,cp_no_ft,8,10.3900,90.3100,-79.9200,59548,414,61706,2572
fashion-mnist,lenet5,1,global_ft,8,85.9700,90.3100,-4.3400,59548,414,61706,2572
fashion-mnist,lenet5,1,kd_ft,8,86.0300,90.3100,-4.2800,59548,414,61706,2572
fashion-mnist,lenet5,1,feature_align_ft,8,85.2100,90.3100,-5.1000,59548,414,61706,2572
fashion-mnist,lenet5,1,progressive_rank_ft,8,84.3600,90.3100,-5.9500,59548,414,61706,2572
fashion-mnist,lenet5,1,per_layer_rank_ft,"conv1=4,conv2=10",84.2900,90.3100,-6.0200,59544,410,61706,2572
fashion-mnist,lenet5,1,layerwise_ft,8,89.4800,90.3100,-0.8300,59548,414,61706,2572
fashion-mnist,lenet5,1,data_aware_layerwise_ft,8,90.2100,90.3100,-0.1000,59548,414,61706,2572
fashion-mnist,lenet5,1,rebalance_layerwise_ft,8,87.1700,90.3100,-3.1400,59548,414,61706,2572
fashion-mnist,lenet5,1,stable_layerwise_ft,8,89.5400,90.3100,-0.7700,59548,414,61706,2572
fashion-mnist,lenet5,2,baseline,8,89.9600,89.9600,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,2,cp_no_ft,8,8.6800,89.9600,-81.2800,59548,414,61706,2572
fashion-mnist,lenet5,2,global_ft,8,83.5300,89.9600,-6.4300,59548,414,61706,2572
fashion-mnist,lenet5,2,kd_ft,8,82.6300,89.9600,-7.3300,59548,414,61706,2572
fashion-mnist,lenet5,2,feature_align_ft,8,85.6300,89.9600,-4.3300,59548,414,61706,2572
fashion-mnist,lenet5,2,progressive_rank_ft,8,84.9500,89.9600,-5.0100,59548,414,61706,2572
fashion-mnist,lenet5,2,per_layer_rank_ft,"conv1=4,conv2=10",85.5500,89.9600,-4.4100,59544,410,61706,2572
fashion-mnist,lenet5,2,layerwise_ft,8,89.5400,89.9600,-0.4200,59548,414,61706,2572
fashion-mnist,lenet5,2,data_aware_layerwise_ft,8,90.6200,89.9600,0.6600,59548,414,61706,2572
fashion-mnist,lenet5,2,rebalance_layerwise_ft,8,89.3700,89.9600,-0.5900,59548,414,61706,2572
fashion-mnist,lenet5,2,stable_layerwise_ft,8,89.6800,89.9600,-0.2800,59548,414,61706,2572
fashion-mnist,lenet5,3,baseline,8,90.2500,90.2500,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,3,cp_no_ft,8,10.7100,90.2500,-79.5400,59548,414,61706,2572
fashion-mnist,lenet5,3,global_ft,8,83.5700,90.2500,-6.6800,59548,414,61706,2572
fashion-mnist,lenet5,3,kd_ft,8,83.2300,90.2500,-7.0200,59548,414,61706,2572
fashion-mnist,lenet5,3,feature_align_ft,8,85.9100,90.2500,-4.3400,59548,414,61706,2572
fashion-mnist,lenet5,3,progressive_rank_ft,8,83.9300,90.2500,-6.3200,59548,414,61706,2572
fashion-mnist,lenet5,3,per_layer_rank_ft,"conv1=4,conv2=10",85.1400,90.2500,-5.1100,59544,410,61706,2572
fashion-mnist,lenet5,3,layerwise_ft,8,89.1300,90.2500,-1.1200,59548,414,61706,2572
fashion-mnist,lenet5,3,data_aware_layerwise_ft,8,90.2400,90.2500,-0.0100,59548,414,61706,2572
fashion-mnist,lenet5,3,rebalance_layerwise_ft,8,89.3700,90.2500,-0.8800,59548,414,61706,2572
fashion-mnist,lenet5,3,stable_layerwise_ft,8,89.4000,90.2500,-0.8500,59548,414,61706,2572
fashion-mnist,lenet5,4,baseline,8,89.7700,89.7700,0.0000,61706,2572,61706,2572
fashion-mnist,lenet5,4,cp_no_ft,8,11.5700,89.7700,-78.2000,59548,414,61706,2572
fashion-mnist,lenet5,4,global_ft,8,84.7000,89.7700,-5.0700,59548,414,61706,2572
fashion-mnist,lenet5,4,kd_ft,8,83.6900,89.7700,-6.0800,59548,414,61706,2572
fashion-mnist,lenet5,4,feature_align_ft,8,85.2500,89.7700,-4.5200,59548,414,61706,2572
fashion-mnist,lenet5,4,progressive_rank_ft,8,80.5500,89.7700,-9.2200,59548,414,61706,2572
fashion-mnist,lenet5,4,per_layer_rank_ft,"conv1=4,conv2=10",83.0500,89.7700,-6.7200,59544,410,61706,2572
fashion-mnist,lenet5,4,layerwise_ft,8,89.1400,89.7700,-0.6300,59548,414,61706,2572
fashion-mnist,lenet5,4,data_aware_layerwise_ft,8,90.1900,89.7700,0.4200,59548,414,61706,2572
fashion-mnist,lenet5,4,rebalance_layerwise_ft,8,87.9700,89.7700,-1.8000,59548,414,61706,2572
fashion-mnist,lenet5,4,stable_layerwise_ft,8,88.8800,89.7700,-0.8900,59548,414,61706,2572
fashion-mnist,smallcnn,0,baseline,16,92.4200,92.4200,0.0000,426122,23296,426122,23296
fashion-mnist,smallcnn,0,cp_no_ft,16,8.4800,92.4200,-83.9400,405802,2976,426122,23296
fashion-mnist,smallcnn,0,global_ft,16,85.4200,92.4200,-7.0000,405802,2976,426122,23296
fashion-mnist,smallcnn,0,kd_ft,16,84.9800,92.4200,-7.4400,405802,2976,426122,23296
fashion-mnist,smallcnn,0,feature_align_ft,16,89.1000,92.4200,-3.3200,405802,2976,426122,23296
fashion-mnist,smallcnn,0,progressive_rank_ft,16,86.5700,92.4200,-5.8500,405802,2976,426122,23296
fashion-mnist,smallcnn,0,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",86.9400,92.4200,-5.4800,405810,2984,426122,23296
fashion-mnist,smallcnn,0,layerwise_ft,16,92.0700,92.4200,-0.3500,405802,2976,426122,23296
fashion-mnist,smallcnn,0,data_aware_layerwise_ft,16,92.5500,92.4200,0.1300,405802,2976,426122,23296
fashion-mnist,smallcnn,0,rebalance_layerwise_ft,16,91.8900,92.4200,-0.5300,405802,2976,426122,23296
fashion-mnist,smallcnn,0,stable_layerwise_ft,16,91.9300,92.4200,-0.4900,405802,2976,426122,23296
fashion-mnist,smallcnn,1,baseline,16,92.2500,92.2500,0.0000,426122,23296,426122,23296
fashion-mnist,smallcnn,1,cp_no_ft,16,9.3600,92.2500,-82.8900,405802,2976,426122,23296
fashion-mnist,smallcnn,1,global_ft,16,88.0000,92.2500,-4.2500,405802,2976,426122,23296
fashion-mnist,smallcnn,1,kd_ft,16,87.9200,92.2500,-4.3300,405802,2976,426122,23296
fashion-mnist,smallcnn,1,feature_align_ft,16,88.7400,92.2500,-3.5100,405802,2976,426122,23296
fashion-mnist,smallcnn,1,progressive_rank_ft,16,86.2700,92.2500,-5.9800,405802,2976,426122,23296
fashion-mnist,smallcnn,1,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",87.7800,92.2500,-4.4700,405810,2984,426122,23296
fashion-mnist,smallcnn,1,layerwise_ft,16,91.8900,92.2500,-0.3600,405802,2976,426122,23296
fashion-mnist,smallcnn,1,data_aware_layerwise_ft,16,92.7100,92.2500,0.4600,405802,2976,426122,23296
fashion-mnist,smallcnn,1,rebalance_layerwise_ft,16,91.6800,92.2500,-0.5700,405802,2976,426122,23296
fashion-mnist,smallcnn,1,stable_layerwise_ft,16,91.9200,92.2500,-0.3300,405802,2976,426122,23296
fashion-mnist,smallcnn,2,baseline,16,92.4800,92.4800,0.0000,426122,23296,426122,23296
fashion-mnist,smallcnn,2,cp_no_ft,16,10.0000,92.4800,-82.4800,405802,2976,426122,23296
fashion-mnist,smallcnn,2,global_ft,16,87.4700,92.4800,-5.0100,405802,2976,426122,23296
fashion-mnist,smallcnn,2,kd_ft,16,86.8400,92.4800,-5.6400,405802,2976,426122,23296
fashion-mnist,smallcnn,2,feature_align_ft,16,88.8900,92.4800,-3.5900,405802,2976,426122,23296
fashion-mnist,smallcnn,2,progressive_rank_ft,16,86.0300,92.4800,-6.4500,405802,2976,426122,23296
fashion-mnist,smallcnn,2,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",88.8000,92.4800,-3.6800,405810,2984,426122,23296
fashion-mnist,smallcnn,2,layerwise_ft,16,92.0100,92.4800,-0.4700,405802,2976,426122,23296
fashion-mnist,smallcnn,2,data_aware_layerwise_ft,16,92.1600,92.4800,-0.3200,405802,2976,426122,23296
fashion-mnist,smallcnn,2,rebalance_layerwise_ft,16,91.7700,92.4800,-0.7100,405802,2976,426122,23296
fashion-mnist,smallcnn,2,stable_layerwise_ft,16,92.2900,92.4800,-0.1900,405802,2976,426122,23296
fashion-mnist,smallcnn,3,baseline,16,92.1400,92.1400,0.0000,426122,23296,426122,23296
fashion-mnist,smallcnn,3,cp_no_ft,16,9.6200,92.1400,-82.5200,405802,2976,426122,23296
fashion-mnist,smallcnn,3,global_ft,16,86.7800,92.1400,-5.3600,405802,2976,426122,23296
fashion-mnist,smallcnn,3,kd_ft,16,87.1800,92.1400,-4.9600,405802,2976,426122,23296
fashion-mnist,smallcnn,3,feature_align_ft,16,89.2800,92.1400,-2.8600,405802,2976,426122,23296
fashion-mnist,smallcnn,3,progressive_rank_ft,16,84.9600,92.1400,-7.1800,405802,2976,426122,23296
fashion-mnist,smallcnn,3,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",86.5000,92.1400,-5.6400,405810,2984,426122,23296
fashion-mnist,smallcnn,3,layerwise_ft,16,92.1500,92.1400,0.0100,405802,2976,426122,23296
fashion-mnist,smallcnn,3,data_aware_layerwise_ft,16,92.3400,92.1400,0.2000,405802,2976,426122,23296
fashion-mnist,smallcnn,3,rebalance_layerwise_ft,16,91.5600,92.1400,-0.5800,405802,2976,426122,23296
fashion-mnist,smallcnn,3,stable_layerwise_ft,16,91.1600,92.1400,-0.9800,405802,2976,426122,23296
fashion-mnist,smallcnn,4,baseline,16,92.1700,92.1700,0.0000,426122,23296,426122,23296
fashion-mnist,smallcnn,4,cp_no_ft,16,10.0000,92.1700,-82.1700,405802,2976,426122,23296
fashion-mnist,smallcnn,4,global_ft,16,87.6100,92.1700,-4.5600,405802,2976,426122,23296
fashion-mnist,smallcnn,4,kd_ft,16,87.4500,92.1700,-4.7200,405802,2976,426122,23296
fashion-mnist,smallcnn,4,feature_align_ft,16,88.9100,92.1700,-3.2600,405802,2976,426122,23296
fashion-mnist,smallcnn,4,progressive_rank_ft,16,85.8400,92.1700,-6.3300,405802,2976,426122,23296
fashion-mnist,smallcnn,4,per_layer_rank_ft,"conv1=8,conv2=12,conv3=20",87.5800,92.1700,-4.5900,405810,2984,426122,23296
fashion-mnist,smallcnn,4,layerwise_ft,16,92.0500,92.1700,-0.1200,405802,2976,426122,23296
fashion-mnist,smallcnn,4,data_aware_layerwise_ft,16,92.4000,92.1700,0.2300,405802,2976,426122,23296
fashion-mnist,smallcnn,4,rebalance_layerwise_ft,16,91.7300,92.1700,-0.4400,405802,2976,426122,23296
fashion-mnist,smallcnn,4,stable_layerwise_ft,16,92.1800,92.1700,0.0100,405802,2976,426122,23296
